enrollment_id,student_id,course_id,term_code,grade_point,grade_letter,completion_status,feedback_rating,hours_per_week,engagement_score
ENR-00001,STU-0001,MAC-COMP-8110,2025W,3.20,B+,completed,3,10.2,0.56
ENR-00002,STU-0001,MAC-COMP-8470,2025S,3.26,B+,completed,3,9.3,0.45
ENR-00003,STU-0001,MAC-COMP-8250,2025S,2.64,B-,completed,4,13.0,0.67
ENR-00004,STU-0001,MAC-COMP-8220,2025S,3.31,A-,completed,3,9.8,0.61
ENR-00005,STU-0001,MAC-COMP-8150,2025S,3.37,A-,completed,3,9.7,0.58
ENR-00006,STU-0001,MAC-COMP-8340,2025F,2.75,B,completed,3,11.6,0.70
ENR-00007,STU-0001,MAC-BU-7600,2025F,3.44,A-,completed,5,13.0,0.54
ENR-00008,STU-0001,MAC-BU-7500,2025F,3.53,A-,completed,4,8.5,0.72
ENR-00009,STU-0001,MAC-BU-7700,2026W,3.38,A-,completed,4,7.2,0.83
ENR-00010,STU-0001,MAC-COMP-8650,2026W,3.61,A-,completed,4,9.8,0.61
ENR-00011,STU-0001,MAC-COMP-8780,2026W,3.70,A,completed,5,6.5,0.67
ENR-00012,STU-0001,MAC-COMP-8890,2026W,3.37,A-,completed,3,7.6,0.92
ENR-00013,STU-0002,MAC-COMP-8110,2025W,2.88,B,completed,3,9.0,0.78
ENR-00014,STU-0002,MAC-COMP-8470,2025S,3.27,B+,completed,3,6.6,0.62
ENR-00015,STU-0002,MAC-COMP-8340,2025S,2.97,B,completed,4,13.1,0.86
ENR-00016,STU-0002,MAC-COMP-8220,2025S,3.78,A,completed,4,7.7,0.50
ENR-00017,STU-0002,MAC-COMP-8150,2025S,3.20,B+,completed,4,7.5,0.85
ENR-00018,STU-0002,MAC-COMP-8250,2025F,,,withdrawn,,7.0,0.59
ENR-00019,STU-0002,MAC-BU-7600,2025F,,,withdrawn,,7.1,0.64
ENR-00020,STU-0002,MAC-BU-7700,2025F,3.17,B+,completed,3,12.9,0.58
ENR-00021,STU-0002,MAC-COMP-8250,2026W,3.55,A-,completed,5,7.4,0.63
ENR-00022,STU-0002,MAC-BU-7600,2026W,2.60,B-,completed,4,6.7,0.58
ENR-00023,STU-0002,MAC-BU-7500,2026W,3.15,B+,completed,5,8.8,0.91
ENR-00024,STU-0002,MAC-COMP-8890,2026W,4.00,A+,completed,4,8.8,0.70
ENR-00025,STU-0003,MAC-COMP-8110,2025W,3.48,A-,completed,4,8.0,0.46
ENR-00026,STU-0003,MAC-COMP-8150,2025S,3.44,A-,completed,5,13.4,0.76
ENR-00027,STU-0003,MAC-COMP-8470,2025S,2.88,B,completed,5,9.8,0.81
ENR-00028,STU-0003,MAC-COMP-8340,2025S,3.83,A,completed,4,12.4,0.73
ENR-00029,STU-0003,MAC-COMP-8250,2025S,3.29,B+,completed,3,9.7,0.62
ENR-00030,STU-0003,MAC-COMP-8220,2025F,,,in-progress,,9.6,0.95
ENR-00031,STU-0003,MAC-BU-7700,2025F,3.36,A-,completed,3,8.4,0.59
ENR-00032,STU-0003,MAC-BU-7500,2025F,,,in-progress,,7.3,0.63
