enrollment_id,student_id,course_id,term_code,grade_point,grade_letter,completion_status,feedback_rating,hours_per_week,engagement_score
ENR-00006,STU-0001,MAC-COMP-8340,2025F,2.75,B,completed,3.0,11.6,0.7
ENR-00007,STU-0001,MAC-BU-7600,2025F,3.44,A-,completed,5.0,13.0,0.54
ENR-00008,STU-0001,MAC-BU-7500,2025F,3.53,A-,completed,4.0,8.5,0.72
ENR-01181,STU-0001,MAC-COMP-8390,2025F,4.0,A+,completed,3.0,11.6,0.9
ENR-01418,STU-0001,MAC-COMP-8590,2025F,3.0,B,completed,5.0,10.5,0.71
ENR-01472,STU-0001,MAC-COMP-8610,2025F,3.0,B,completed,3.0,10.9,0.83
ENR-01769,STU-0001,MAC-BU-8130,2025F,3.0,B,completed,3.0,11.4,0.6
ENR-01969,STU-0001,MAC-COMP-8390,2025F,4.0,A+,completed,3.0,11.6,0.9
ENR-02206,STU-0001,MAC-COMP-8590,2025F,3.0,B,completed,5.0,10.5,0.71
ENR-02260,STU-0001,MAC-COMP-8610,2025F,3.0,B,completed,3.0,10.9,0.83
ENR-02557,STU-0001,MAC-BU-8130,2025F,3.0,B,completed,3.0,11.4,0.6
ENR-00002,STU-0001,MAC-COMP-8470,2025S,3.26,B+,completed,3.0,9.3,0.45
ENR-00003,STU-0001,MAC-COMP-8250,2025S,2.64,B-,completed,4.0,13.0,0.67
ENR-00004,STU-0001,MAC-COMP-8220,2025S,3.31,A-,completed,3.0,9.8,0.61
ENR-00005,STU-0001,MAC-COMP-8150,2025S,3.37,A-,completed,3.0,9.7,0.58
ENR-01093,STU-0001,MAC-COMP-8207,2025S,3.0,B,completed,5.0,8.4,0.52
ENR-00020,STU-0002,MAC-BU-7700,2025F,3.17,B+,completed,3.0,12.9,0.58
ENR-01106,STU-0002,MAC-COMP-8207,2025F,3.67,A-,completed,4.0,8.2,0.44
ENR-01894,STU-0002,MAC-COMP-8207,2025F,3.67,A-,completed,4.0,8.2,0.44
ENR-00014,STU-0002,MAC-COMP-8470,2025S,3.27,B+,completed,3.0,6.6,0.62
ENR-00015,STU-0002,MAC-COMP-8340,2025S,2.97,B,completed,4.0,13.1,0.86
ENR-00016,STU-0002,MAC-COMP-8220,2025S,3.78,A,completed,4.0,7.7,0.5
ENR-00017,STU-0002,MAC-COMP-8150,2025S,3.2,B+,completed,4.0,7.5,0.85
ENR-00013,STU-0002,MAC-COMP-8110,2025W,2.88,B,completed,3.0,9.0,0.78
ENR-01814,STU-0002,MAC-BU-8140,2026F,3.67,A-,completed,4.0,7.8,0.45
ENR-02602,STU-0002,MAC-BU-8140,2026F,3.67,A-,completed,4.0,7.8,0.45
ENR-00021,STU-0002,MAC-COMP-8250,2026W,3.55,A-,completed,5.0,7.4,0.63
ENR-00022,STU-0002,MAC-BU-7600,2026W,2.6,B-,completed,4.0,6.7,0.58
ENR-00031,STU-0003,MAC-BU-7700,2025F,3.36,A-,completed,3.0,8.4,0.59
ENR-00033,STU-0003,MAC-COMP-8890,2025F,3.36,A-,completed,5.0,7.0,0.53
ENR-01439,STU-0003,MAC-COMP-8590,2025F,3.0,B,completed,4.0,8.6,0.55
ENR-01645,STU-0003,MAC-COMP-8790,2025F,2.33,C+,completed,4.0,8.6,0.89
ENR-02227,STU-0003,MAC-COMP-8590,2025F,3.0,B,completed,4.0,8.6,0.55
ENR-02433,STU-0003,MAC-COMP-8790,2025F,2.33,C+,completed,4.0,8.6,0.89
ENR-00026,STU-0003,MAC-COMP-8150,2025S,3.44,A-,completed,5.0,13.4,0.76
ENR-00027,STU-0003,MAC-COMP-8470,2025S,2.88,B,completed,5.0,9.8,0.81
ENR-00028,STU-0003,MAC-COMP-8340,2025S,3.83,A,completed,4.0,12.4,0.73
ENR-00029,STU-0003,MAC-COMP-8250,2025S,3.29,B+,completed,3.0,9.7,0.62
ENR-00025,STU-0003,MAC-COMP-8110,2025W,3.48,A-,completed,4.0,8.0,0.46
ENR-00034,STU-0004,MAC-COMP-8110,2025F,3.46,A-,completed,3.0,11.4,0.93
ENR-01028,STU-0004,MAC-COMP-8130,2025S,3.33,B+,completed,4.0,10.4,0.86
